review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000019,ORD-20251012-930091,CUST-12444,REST-DXB-002,Good quality food. Rasmalai (2 pcs) and Lamb Rogan Josh were nicely done. Lamb Rogan Josh could have been slightly spicier but still good!,4,2025-10-14T20:29:27.261864
REV-000020,ORD-20251012-916825,CUST-14560,REST-DXB-001,Outstanding experience! The Tandoori Roti exceeded all expectations. Tandoori Roti was the star of the meal. Will definitely order again!,5,2025-10-16T21:57:29.261864
REV-000022,ORD-20251017-656825,CUST-12628,REST-DXB-001,Not good. Chole Bhature  Palak Paneer  and Kulfi arrived late and cold. Palak Paneer had barely any flavor. Poor quality.,2,2025-10-20T15:14:18.261864
REV-000023,ORD-20251019-151958,CUST-13108,REST-AUH-001,Outstanding experience! The Gulab Jamun (2 pcs)  Paneer Tikka  and Tandoori Roti exceeded all expectations. Tandoori Roti was the star of the meal. Will definitely order again!,5,2025-10-21T20:18:37.261864
REV-000021,ORD-20251016-539638,CUST-14689,REST-DXB-001,Decent food but nothing special. Palak Paneer were okay. Palak Paneer lacked the punch I expected.,3,2025-10-21T22:07:20.261864
REV-000024,ORD-20251021-942702,CUST-10542,REST-AUH-001,Decent food but nothing special. Dal Makhani were okay. Dal Makhani lacked the punch I expected.,3,2025-10-22T12:06:49.261864
REV-000026,ORD-20251022-337128,CUST-12451,REST-DXB-001,Good quality food. Jeera Rice  Masala Chai  Malai Kofta  Paneer Tikka  and Palak Paneer were nicely done. Jeera Rice could have been slightly spicier but still good!,4,2025-10-23T21:52:06.261864
REV-000027,ORD-20251025-395481,CUST-14423,REST-SHJ-001,Outstanding experience! The Butter Naan  Fish Curry  Masala Chai  Vegetable Biryani  and Chicken Biryani exceeded all expectations. Butter Naan was the star of the meal. Will definitely order again!,5,2025-10-26T10:53:38.261864
REV-000025,ORD-20251022-822764,CUST-10034,REST-SHJ-001,Incredible meal! Paneer Tikka  Naan  and Vegetable Biryani arrived hot and fresh. The Paneer Tikka was absolutely divine. Highly satisfied!,5,2025-10-28T14:30:02.261864
REV-000028,ORD-20251025-202732,CUST-13551,REST-AUH-001,Expected better. Aloo Tikki Chaat were subpar. Aloo Tikki Chaat was too oily and greasy. Stomach upset followed.,2,2025-10-28T16:48:00.261864
REV-000029,ORD-20251027-695321,CUST-10255,REST-AUH-002,Wow! Just wow! Samosa (2 pcs)  Gulab Jamun (2 pcs)  Rasmalai (2 pcs)  and Sweet Lassi were all fantastic. Sweet Lassi was particularly memorable. Can't wait to order again!,5,2025-10-30T17:56:47.261864
REV-000031,ORD-20251030-806702,CUST-11998,REST-DXB-001,Enjoyed the Kulfi and Rasmalai (2 pcs)! Rasmalai (2 pcs) was very good. Portion sizes were generous. Recommend!,4,2025-10-31T18:26:57.261864
REV-000030,ORD-20251028-328681,CUST-10042,REST-SHJ-001,Exceptional quality! Ordered Fresh Lime Soda  Fish Curry  Gajar Halwa  Aloo Tikki Chaat  and Chicken Tikka Masala and everything was delicious. The Aloo Tikki Chaat melted in my mouth. Perfect!,5,2025-11-04T11:18:24.261864
REV-000032,ORD-20251031-732623,CUST-14710,REST-DXB-002,Incredible meal! Paneer Tikka  Chicken 65  Gajar Halwa  and Mango Lassi arrived hot and fresh. The Paneer Tikka was absolutely divine. Highly satisfied!,5,2025-11-06T21:30:11.261864
REV-000035,ORD-20251107-885277,CUST-13298,REST-AUH-002,Wow! Just wow! Butter Chicken were all fantastic. Butter Chicken was particularly memorable. Can't wait to order again!,5,2025-11-08T17:02:05.261864
REV-000033,ORD-20251105-407216,CUST-13502,REST-DXB-001,Exceptional quality! Ordered Malai Kofta and everything was delicious. The Malai Kofta melted in my mouth. Perfect!,5,2025-11-09T10:55:28.261864
REV-000034,ORD-20251105-914292,CUST-13222,REST-AUH-001,Outstanding experience! The Kulfi exceeded all expectations. Kulfi was the star of the meal. Will definitely order again!,5,2025-11-10T21:45:48.261864
REV-000036,ORD-20251107-774977,CUST-14928,REST-AUH-001,Outstanding experience! The Chicken Biryani  Kulfi  Rasmalai (2 pcs)  and Aloo Tikki Chaat exceeded all expectations. Aloo Tikki Chaat was the star of the meal. Will definitely order again!,5,2025-11-11T20:31:55.261864
REV-000037,ORD-20251109-427964,CUST-12450,REST-AUH-001,Enjoyed the Kulfi! Kulfi was very good. Portion sizes were generous. Recommend!,4,2025-11-14T17:29:40.261864
REV-000038,ORD-20251113-848915,CUST-13703,REST-DXB-002,Disaster! Chicken Seekh Kebab  Fresh Lime Soda  and Gulab Jamun (2 pcs) were all stale. Fresh Lime Soda had a weird smell. Completely unacceptable!,1,2025-11-15T21:39:17.261864
REV-000039,ORD-20251114-714586,CUST-12788,REST-DXB-002,Perfect in every way! Masala Chai and Fish Curry were all excellent. Fish Curry stood out with its rich  authentic taste.,5,2025-11-16T12:38:38.261864
REV-000040,ORD-20251116-942898,CUST-12544,REST-DXB-001,Pleasant meal! Fish Curry arrived warm. Fish Curry was tasty though not exceptional. Would order again.,4,2025-11-17T21:26:28.261864
REV-000041,ORD-20251117-863966,CUST-12497,REST-AUH-002,Wow! Just wow! Tandoori Roti  Aloo Tikki Chaat  Chicken 65  Mango Lassi  and Chicken Tikka Masala were all fantastic. Chicken Tikka Masala was particularly memorable. Can't wait to order again!,5,2025-11-18T20:05:49.261864
REV-000043,ORD-20251118-524853,CUST-10042,REST-DXB-002,Not bad  not great. Chicken Tikka Masala were edible. Chicken Tikka Masala needed more seasoning.,3,2025-11-20T18:29:21.261864
REV-000042,ORD-20251118-572436,CUST-10133,REST-DXB-001,Unsatisfactory. Aloo Tikki Chaat  Samosa (2 pcs)  Rasmalai (2 pcs)  and Butter Chicken were not fresh. Samosa (2 pcs) tasted reheated. Won't order again.,2,2025-11-21T12:04:38.261864
REV-000044,ORD-20251121-567979,CUST-13439,REST-SHJ-001,Wow! Just wow! Vegetable Biryani and Samosa (2 pcs) were all fantastic. Samosa (2 pcs) was particularly memorable. Can't wait to order again!,5,2025-11-25T12:05:46.261864
REV-000047,ORD-20251125-456533,CUST-13160,REST-AUH-002,Solid experience. Tandoori Roti  Garlic Naan  Aloo Tikki Chaat  and Jeera Rice were well-prepared. Aloo Tikki Chaat had great flavor. Minor issues with packaging.,4,2025-11-26T21:38:14.261864
REV-000046,ORD-20251122-342757,CUST-14799,REST-AUH-001,Worst food ever! Kulfi  Chole Bhature  Chicken Biryani  and Butter Naan were all wrong. Chicken Biryani made me sick. Never ordering again!,1,2025-11-28T16:44:44.261864
REV-000045,ORD-20251122-523012,CUST-11551,REST-DXB-002,Absolutely amazing Tandoori Roti  Paneer Tikka  and Fish Curry! The Fish Curry was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-29T10:41:11.261864
REV-000048,ORD-20251127-988259,CUST-11835,REST-DXB-001,Best Indian food in UAE! Chicken Biryani  Vegetable Biryani  Paneer Tikka  Fresh Lime Soda  and Gajar Halwa were incredible. Chicken Biryani had the perfect balance of spices. Five stars!,5,2025-11-29T15:59:02.261864
REV-000049,ORD-20251128-156412,CUST-10670,REST-AUH-001,Perfect in every way! Chicken Seekh Kebab  Palak Paneer  Tandoori Roti  Rasmalai (2 pcs)  and Chicken 65 were all excellent. Chicken Seekh Kebab stood out with its rich  authentic taste.,5,2025-11-30T21:30:32.261864
REV-000050,ORD-20251129-370888,CUST-11294,REST-SHJ-001,Best Indian food in UAE! Palak Paneer  Lamb Rogan Josh  and Sweet Lassi were incredible. Lamb Rogan Josh had the perfect balance of spices. Five stars!,5,2025-12-03T17:15:37.261864
REV-000051,ORD-20251129-355900,CUST-12357,REST-DXB-002,Outstanding experience! The Naan  Paneer Tikka  Aloo Tikki Chaat  and Gajar Halwa exceeded all expectations. Gajar Halwa was the star of the meal. Will definitely order again!,5,2025-12-03T21:54:29.261864
REV-000054,ORD-20251206-699463,CUST-14454,REST-AUH-002,Outstanding experience! The Dal Makhani  Butter Naan  Samosa (2 pcs)  and Rasmalai (2 pcs) exceeded all expectations. Butter Naan was the star of the meal. Will definitely order again!,5,2025-12-08T13:45:57.261864
REV-000052,ORD-20251205-859942,CUST-14996,REST-DXB-001,Exceptional quality! Ordered Chole Bhature  Paneer Butter Masala  Fresh Lime Soda  and Palak Paneer and everything was delicious. The Chole Bhature melted in my mouth. Perfect!,5,2025-12-11T10:09:02.261864
REV-000053,ORD-20251205-286433,CUST-14678,REST-DXB-002,Very satisfied! Palak Paneer  Fish Curry  Jeera Rice  Gajar Halwa  and Chicken Biryani were fresh and flavorful. Chicken Biryani was the standout dish.,4,2025-12-12T15:56:33.261864
REV-000055,ORD-20251206-819857,CUST-12810,REST-DXB-002,Not bad  not great. Palak Paneer  Masala Chai  Paneer Butter Masala  and Mango Lassi were edible. Palak Paneer needed more seasoning.,3,2025-12-12T16:51:14.261864
REV-000056,ORD-20251207-723138,CUST-11158,REST-DXB-001,Decent food but nothing special. Fresh Lime Soda  Vegetable Biryani  and Rasmalai (2 pcs) were okay. Rasmalai (2 pcs) lacked the punch I expected.,3,2025-12-12T22:03:08.261864
REV-000057,ORD-20251211-644002,CUST-10471,REST-DXB-001,Terrible experience! Gulab Jamun (2 pcs)  Vegetable Biryani  Kulfi  Chole Bhature  and Jeera Rice were all inedible. Gulab Jamun (2 pcs) was completely burnt. Waste of money!,1,2025-12-14T22:28:40.261864
REV-000058,ORD-20251217-400470,CUST-11065,REST-AUH-002,Outstanding experience! The Kulfi and Garlic Naan exceeded all expectations. Garlic Naan was the star of the meal. Will definitely order again!,5,2025-12-18T13:19:03.261864
REV-000060,ORD-20251221-700476,CUST-11271,REST-AUH-002,Perfect in every way! Paneer Tikka were all excellent. Paneer Tikka stood out with its rich  authentic taste.,5,2025-12-23T22:46:13.261864
REV-000061,ORD-20251224-156760,CUST-13385,REST-AUH-002,Hands down the best Sweet Lassi I've ever had! Sweet Lassi were all prepared beautifully. Fresh and flavorful!,5,2025-12-25T15:02:42.261864
REV-000064,ORD-20251225-959277,CUST-10523,REST-AUH-002,Exceptional quality! Ordered Sweet Lassi  Vegetable Biryani  Paneer Tikka  and Gulab Jamun (2 pcs) and everything was delicious. The Gulab Jamun (2 pcs) melted in my mouth. Perfect!,5,2025-12-26T18:49:27.261864
REV-000059,ORD-20251219-856875,CUST-13352,REST-AUH-002,Great food overall. Samosa (2 pcs) and Malai Kofta were tasty  especially the Samosa (2 pcs). Would order again!,4,2025-12-26T19:17:46.261864
REV-000062,ORD-20251224-520466,CUST-13037,REST-SHJ-001,Solid experience. Jeera Rice were well-prepared. Jeera Rice had great flavor. Minor issues with packaging.,4,2025-12-27T20:37:10.261864
REV-000065,ORD-20251226-347463,CUST-14746,REST-SHJ-001,Incredible meal! Kulfi arrived hot and fresh. The Kulfi was absolutely divine. Highly satisfied!,5,2025-12-28T16:59:06.261864
REV-000063,ORD-20251225-856158,CUST-13199,REST-AUH-001,Good quality food. Naan and Garlic Naan were nicely done. Naan could have been slightly spicier but still good!,4,2026-01-01T11:37:57.261864
REV-000066,ORD-20251229-597995,CUST-14110,REST-DXB-001,Best Indian food in UAE! Chicken 65 and Gajar Halwa were incredible. Chicken 65 had the perfect balance of spices. Five stars!,5,2026-01-02T13:53:32.261864
REV-000067,ORD-20251231-843080,CUST-14403,REST-AUH-002,Very satisfied! Vegetable Biryani  Samosa (2 pcs)  Kulfi  Chicken Seekh Kebab  and Jeera Rice were fresh and flavorful. Chicken Seekh Kebab was the standout dish.,4,2026-01-02T16:09:33.261864
REV-000068,ORD-20260105-401995,CUST-11028,REST-SHJ-001,Mediocre. Rasmalai (2 pcs)  Fish Curry  Naan  and Mango Lassi were fine but forgettable. Rasmalai (2 pcs) didn't stand out.,3,2026-01-07T21:18:40.261864
REV-000069,ORD-20260107-773376,CUST-14474,REST-SHJ-001,Expected better. Jeera Rice  Tandoori Roti  Chicken 65  and Malai Kofta were subpar. Chicken 65 was too oily and greasy. Stomach upset followed.,2,2026-01-12T15:52:13.261864
REV-000071,ORD-20260116-764190,CUST-13830,REST-AUH-001,Pleasant meal! Fish Curry  Gajar Halwa  and Chicken Seekh Kebab arrived warm. Fish Curry was tasty though not exceptional. Would order again.,4,2026-01-17T19:36:23.261864
REV-000070,ORD-20260113-716596,CUST-10163,REST-DXB-001,Exceptional quality! Ordered Rasmalai (2 pcs) and everything was delicious. The Rasmalai (2 pcs) melted in my mouth. Perfect!,5,2026-01-18T22:48:11.261864
REV-000074,ORD-20260117-656054,CUST-13486,REST-DXB-001,Really good Kulfi! The Kulfi was delicious. Slight delay in delivery but food quality made up for it.,4,2026-01-21T20:00:17.261864
REV-000073,ORD-20260117-642420,CUST-13258,REST-AUH-001,Average experience. Aloo Tikki Chaat and Sweet Lassi were fine but Aloo Tikki Chaat was a bit bland. Room for improvement.,3,2026-01-22T19:22:47.261864
REV-000076,ORD-20260118-782780,CUST-12995,REST-AUH-001,Not good. Chole Bhature  Tandoori Roti  and Gajar Halwa arrived late and cold. Tandoori Roti had barely any flavor. Poor quality.,2,2026-01-23T18:35:13.261864
REV-000072,ORD-20260117-781128,CUST-14701,REST-AUH-001,Outstanding experience! The Chicken Tikka Masala  Gajar Halwa  Samosa (2 pcs)  and Chicken Biryani exceeded all expectations. Samosa (2 pcs) was the star of the meal. Will definitely order again!,5,2026-01-24T10:48:57.261864
REV-000078,ORD-20260122-699062,CUST-10553,REST-SHJ-001,Expected better. Chicken Biryani were subpar. Chicken Biryani was too oily and greasy. Stomach upset followed.,2,2026-01-24T22:34:54.261864
REV-000075,ORD-20260118-989409,CUST-10823,REST-AUH-001,Pleasant meal! Garlic Naan  Lamb Rogan Josh  and Gajar Halwa arrived warm. Lamb Rogan Josh was tasty though not exceptional. Would order again.,4,2026-01-25T16:23:36.261864
REV-000077,ORD-20260122-384128,CUST-11917,REST-DXB-001,Average experience. Chicken Tikka Masala  Naan  and Palak Paneer were fine but Chicken Tikka Masala was a bit bland. Room for improvement.,3,2026-01-27T21:39:00.261864
REV-000079,ORD-20260125-592585,CUST-12776,REST-DXB-001,Incredible meal! Jeera Rice and Kulfi arrived hot and fresh. The Kulfi was absolutely divine. Highly satisfied!,5,2026-01-29T14:31:41.261864
REV-000081,ORD-20260129-802700,CUST-11987,REST-SHJ-001,Pleasant meal! Sweet Lassi  Dal Makhani  Aloo Tikki Chaat  and Paneer Tikka arrived warm. Paneer Tikka was tasty though not exceptional. Would order again.,4,2026-02-01T11:54:19.261864
REV-000080,ORD-20260128-706844,CUST-13305,REST-AUH-002,Exceptional quality! Ordered Garlic Naan and everything was delicious. The Garlic Naan melted in my mouth. Perfect!,5,2026-02-02T11:23:58.261864
REV-000083,ORD-20260131-575778,CUST-12329,REST-AUH-002,Wow! Just wow! Malai Kofta  Aloo Tikki Chaat  Gulab Jamun (2 pcs)  and Gajar Halwa were all fantastic. Gulab Jamun (2 pcs) was particularly memorable. Can't wait to order again!,5,2026-02-02T12:08:28.261864
REV-000082,ORD-20260130-146813,CUST-10228,REST-AUH-001,Incredible meal! Fish Curry  Kulfi  Lamb Rogan Josh  and Sweet Lassi arrived hot and fresh. The Sweet Lassi was absolutely divine. Highly satisfied!,5,2026-02-05T22:33:57.261864
REV-000084,ORD-20260201-721249,CUST-11090,REST-DXB-001,Outstanding experience! The Jeera Rice and Mango Lassi exceeded all expectations. Jeera Rice was the star of the meal. Will definitely order again!,5,2026-02-07T20:08:39.261864
REV-000085,ORD-20260206-201316,CUST-12466,REST-DXB-002,Exceptional quality! Ordered Gulab Jamun (2 pcs)  Paneer Tikka  and Malai Kofta and everything was delicious. The Gulab Jamun (2 pcs) melted in my mouth. Perfect!,5,2026-02-09T18:37:52.261864
REV-000086,ORD-20260206-259185,CUST-11896,REST-AUH-002,Disaster! Jeera Rice  Sweet Lassi  Gulab Jamun (2 pcs)  and Fish Curry were all stale. Jeera Rice had a weird smell. Completely unacceptable!,1,2026-02-09T22:45:23.261864
REV-000089,ORD-20260209-866072,CUST-12233,REST-DXB-001,Expected better. Mango Lassi and Garlic Naan were subpar. Mango Lassi was too oily and greasy. Stomach upset followed.,2,2026-02-13T12:14:36.261864
REV-000088,ORD-20260208-285766,CUST-10420,REST-AUH-002,Appalling quality! Chole Bhature were swimming in oil. Chole Bhature was raw inside. Health hazard!,1,2026-02-13T13:17:56.261864
REV-000087,ORD-20260207-390975,CUST-11605,REST-AUH-001,Really good Chicken Biryani and Gulab Jamun (2 pcs)! The Gulab Jamun (2 pcs) was delicious. Slight delay in delivery but food quality made up for it.,4,2026-02-13T14:51:29.261864
REV-000092,ORD-20260213-106468,CUST-11515,REST-DXB-002,Very satisfied! Naan and Masala Chai were fresh and flavorful. Masala Chai was the standout dish.,4,2026-02-14T12:16:16.261864
REV-000090,ORD-20260210-190506,CUST-14930,REST-SHJ-001,Absolutely horrible! Chicken Seekh Kebab  Samosa (2 pcs)  Naan  and Malai Kofta arrived ice cold after 2 hour delay. Malai Kofta was spoiled. Disgusting!,1,2026-02-15T16:59:58.261864
REV-000093,ORD-20260218-711772,CUST-14356,REST-AUH-001,Exceptional quality! Ordered Palak Paneer  Paneer Butter Masala  Fish Curry  and Aloo Tikki Chaat and everything was delicious. The Fish Curry melted in my mouth. Perfect!,5,2026-02-19T14:04:31.261864
REV-000091,ORD-20260212-729579,CUST-11575,REST-DXB-001,Perfect in every way! Fish Curry and Chole Bhature were all excellent. Fish Curry stood out with its rich  authentic taste.,5,2026-02-19T16:56:59.261864
REV-000094,ORD-20260218-451613,CUST-12452,REST-AUH-001,Best Indian food in UAE! Samosa (2 pcs) were incredible. Samosa (2 pcs) had the perfect balance of spices. Five stars!,5,2026-02-20T18:21:25.261864
REV-000096,ORD-20260221-796869,CUST-12042,REST-SHJ-001,Absolutely amazing Palak Paneer! The Palak Paneer was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-02-23T12:04:01.261864
REV-000095,ORD-20260219-182673,CUST-12522,REST-DXB-001,Disappointed with Jeera Rice and Palak Paneer. Jeera Rice was cold when it arrived. Not worth the money.,2,2026-02-25T20:57:51.261864
REV-000097,ORD-20260301-668043,CUST-13657,REST-DXB-001,Great food overall. Samosa (2 pcs)  Jeera Rice  Palak Paneer  Chicken 65  and Dal Makhani were tasty  especially the Samosa (2 pcs). Would order again!,4,2026-03-05T18:36:14.261864
REV-000098,ORD-20260302-204059,CUST-14880,REST-DXB-001,Outstanding experience! The Fish Curry  Palak Paneer  and Paneer Butter Masala exceeded all expectations. Palak Paneer was the star of the meal. Will definitely order again!,5,2026-03-06T22:38:37.261864
REV-000100,ORD-20260307-636983,CUST-12352,REST-DXB-001,Very satisfied! Vegetable Biryani and Gajar Halwa were fresh and flavorful. Gajar Halwa was the standout dish.,4,2026-03-09T11:51:48.261864
REV-000099,ORD-20260305-689357,CUST-11066,REST-SHJ-001,Not good. Aloo Tikki Chaat  Chicken 65  Masala Chai  and Malai Kofta arrived late and cold. Aloo Tikki Chaat had barely any flavor. Poor quality.,2,2026-03-12T12:56:35.261864
